what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316640308811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640319183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640319693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640331041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640331444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316640336824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316640337926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640354555
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316640363343
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316640391638
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316640393257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640473361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640498524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316640562537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316640564632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640575127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640584870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1316640619328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316640620788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640627589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316640646713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1316640651016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640683369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640683780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640690490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640690818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640699557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640719200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640719529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640770371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316640783661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316640787994
